,Mkt-RF,SMB,HML,RMW,CMA,RF,category,,Mkt-RF,SMB,HML,RMW,CMA,,Mkt-RF,SMB,HML,RMW,CMA,RF,category
,,,,,,,,,,,,,,197810,-11.91,-10.05,1.36,0.17,1.03,0.68,TP
,,,,,,,,,,,,,,197811,2.71,2.85,-2.22,1.09,-1.21,0.7,TP
,,,,,,,,,,,,,,197812,0.88,1.07,-2.19,1.96,-1.38,0.78,TP
,,,,,,,,,,,,,,197901,4.23,3.84,2.27,-2.5,1.57,0.77,TP
,,,,,,,,,,,,,,197902,-3.56,0.55,1.2,-1.14,1.04,0.73,TP
,,,,,,,,,,,,,,197903,5.68,3.16,-0.67,0.62,0.28,0.81,TP
,,,,,,,,,,,,,,197904,-0.06,2.4,1.05,1.05,0.21,0.8,TP
,,,,,,,,,,,,,,197905,-2.21,0.5,1.92,-0.88,-0.84,0.82,TP
,,,,,,,,,,,,,,197906,3.85,0.99,1.48,-1.61,-0.45,0.81,TP
,,,,,,,,,,,,,,197907,0.82,1.24,1.7,-0.2,0.59,0.77,TP
,,,,,,,,,,,,,,197908,5.53,1.97,-1.55,1.58,-1.45,0.77,TP
,,,,,,,,,,,,,,197909,-0.82,-0.27,-0.87,1.02,0.54,0.83,TP
,,,,,,,,,,,,,,197910,-8.1,-3.46,-1.86,1.04,0.24,0.87,TP
,,,,,,,,,,,,,,197911,5.21,2.44,-3.25,0.11,-2,0.99,TP
,,,,,,,,,,,,,,197912,1.79,4.34,-1.98,-0.67,-1.01,0.95,TP
,,,,,,,,,,,,,,198007,6.49,3.93,-6.3,3.94,-2.46,0.53,TP
,,,,,,,,,,,,,,198008,1.8,4.26,-2.64,2.1,-0.8,0.64,TP
,,,,,,,,,,,,,,198009,2.19,0.58,-4.79,2.03,-2.81,0.75,TP
,,,,,,,,,,,,,,198010,1.06,2.33,-2.74,1.67,-1.22,0.95,TP
,,,,,,,,,,,,,,198011,9.59,-3.4,-8.35,4.53,-5.74,0.96,TP
,,,,,,,,,,,,,,198012,-4.52,-0.31,2.68,-1.25,1.18,1.31,TP
,,,,,,,,,,,,,,198101,-5.04,3.37,6.84,-3.54,4.35,1.04,TP
,,,,,,,,,,,,,,198102,0.57,-0.49,0.97,0.19,2.25,1.07,TP
,,,,,,,,,,,,,,198103,3.56,3.08,0.67,-2.34,-0.53,1.21,TP
,,,,,,,,,,,,,,198104,-2.11,4.6,2.26,0.82,1.2,1.08,TP
,,,,,,,,,,,,,,198105,0.11,2.45,-0.43,0.33,-1.6,1.15,TP
,,,,,,,,,,,,,,198106,-2.36,-0.97,5.13,-1.35,2.68,1.35,TP
,,,,,,,,,,,,,,198211,4.67,4.53,-1.96,-1.05,0.32,0.63,TP
,,,,,,,,,,,,,,198212,0.55,-0.01,0.01,-0.07,1.03,0.67,TP
,,,,,,,,,,,,,,198301,3.6,3.28,-0.86,-1.5,-0.46,0.69,TP
,,,,,,,,,,,,,,198302,2.59,2.9,0.67,-0.57,1.02,0.62,TP
,,,,,,,,,,,,,,198303,2.82,1.42,2.07,-0.07,2.81,0.63,TP
,,,,,,,,,,,,,,198304,6.67,0.49,0.6,-0.16,1.6,0.71,TP
,,,,,,,,,,,,,,198305,0.52,6.22,-1.4,-1.85,-1.53,0.69,TP
,,,,,,,,,,,,,,198306,3.07,1.15,-3.87,2.52,-0.89,0.67,TP
,,,,,,,,,,,,,,198307,-4.07,0.98,5.62,-0.03,2.84,0.74,TP
,,,,,,,,,,,,,,198308,-0.5,-4.34,5.55,0.45,1.95,0.76,TP
,,,,,,,,,,,,,,198309,0.91,0.25,1.09,1.21,0.59,0.76,TP
,,,,,,,,,,,,,,198310,-3.44,-3.82,5.06,-0.81,2.97,0.76,TP
,,,,,,,,,,,,,,198311,2.16,1.88,-0.62,-0.48,0.64,0.7,TP
,,,,,,,,,,,,,,198312,-1.78,-0.47,1.67,1.59,1.21,0.73,TP
,,,,,,,,,,,,,,198401,-1.92,-0.07,7.63,-0.93,3,0.76,TP
,,,,,,,,,,,,,,198402,-4.82,-1.62,3.36,0.82,1.57,0.71,TP
,,,,,,,,,,,,,,198403,0.63,-0.28,0.48,-0.93,1.09,0.73,TP
,,,,,,,,,,,,,,198404,-0.51,-1.01,1.29,3.27,0.76,0.81,TP
,,,,,,,,,,,,,,198405,-5.97,0.08,0.26,2.32,-0.5,0.78,TP
,,,,,,,,,,,,,,198406,1.82,0.07,-2.6,3.08,-1.51,0.75,TP
,,,,,,,,,,,,,,198407,-2.74,-2.22,0.49,3.69,-2.17,0.82,TP
,,,,,,,,,,,,,,198408,10.28,-0.3,-1.85,-0.89,-0.81,0.83,TP
,,,,,,,,,,,,,,198409,-0.8,0,5.32,1.4,2.53,0.86,TP
,,,,,,,,,,,,,,198410,-0.84,-1.43,0.51,1.17,-1.16,1,TP
,,,,,,,,,,,,,,198411,-1.76,-0.98,4.08,0.81,2.08,0.73,TP
,,,,,,,,,,,,,,198412,1.84,-0.69,-0.17,1.21,-1.26,0.64,TP
,,,,,,,,,,,,,,198501,7.99,3.49,-5.43,-0.83,-3.36,0.65,TP
,,,,,,,,,,,,,,198502,1.22,1,-0.12,1.26,1.03,0.58,TP
,,,,,,,,,,,,,,198503,-0.84,-1.48,4.1,1.18,2.94,0.62,TP
,,,,,,,,,,,,,,198504,-0.96,-0.1,3.73,1.59,0.71,0.72,TP
,,,,,,,,,,,,,,198505,5.09,-2.33,-0.86,1.3,-1.39,0.66,TP
,,,,,,,,,,,,,,198506,1.27,0.48,0.7,1.5,-0.59,0.55,TP
,,,,,,,,,,,,,,198507,-0.74,2.89,-1.63,-0.45,-0.31,0.62,TP
,,,,,,,,,,,,,,198508,-1.02,-0.32,2.28,-0.04,1.88,0.55,TP
,,,,,,,,,,,,,,198509,-4.54,-1.81,1.32,1.16,1.61,0.6,TP
,,,,,,,,,,,,,,198510,4.02,-1.55,0.78,0.92,-1.11,0.65,TP
,,,,,,,,,,,,,,198511,6.48,0,-2.87,0.29,-2.33,0.61,TP
,,,,,,,,,,,,,,198512,3.88,-0.39,-1.53,0.97,-1.8,0.65,TP
,,,,,,,,,,,,,,198601,0.65,1.01,0.53,-2.02,-2.05,0.56,TP
,,,,,,,,,,,,,,198602,7.13,-0.76,-0.94,1.15,-1.39,0.53,TP
,,,,,,,,,,,,,,198603,4.88,-0.57,-0.44,1.12,0.99,0.6,TP
,,,,,,,,,,,,,,198604,-1.31,2.92,-2.85,2.91,0.02,0.52,TP
,,,,,,,,,,,,,,198605,4.62,-1.26,-0.11,2.08,1.11,0.49,TP
,,,,,,,,,,,,,,198606,1.03,-0.87,1.4,1.83,0.87,0.52,TP
,,,,,,,,,,,,,,198607,-6.45,-3.54,4.78,-0.57,0.61,0.52,TP
,,,,,,,,,,,,,,198608,6.07,-4.36,3.52,-1.74,3.24,0.46,TP
,,,,,,,,,,,,,,198609,-8.6,1.97,3.19,-0.05,3.62,0.45,TP
,,,,,,,,,,,,,,198610,4.66,-2.33,-1.32,0.13,0.89,0.46,TP
,,,,,,,,,,,,,,198611,1.17,-1.88,-0.06,1.12,0.61,0.39,TP
,,,,,,,,,,,,,,198612,-3.27,0.07,0.37,0.83,-0.03,0.49,TP
,,,,,,,,,,,,,,198701,12.47,-1.51,-3.18,0.2,-1.09,0.42,TP
,,,,,,,,,,,,,,198702,4.39,3.41,-5.99,-0.9,-2.76,0.43,TP
,,,,,,,,,,,,,,198703,1.64,0.21,1.66,1.36,4.03,0.47,TP
,,,,,,,,,,,,,,198704,-2.11,-1.55,-0.33,-0.46,1.22,0.44,TP
,,,,,,,,,,,,,,198705,0.11,-0.59,0.13,0.52,1.32,0.38,TP
,,,,,,,,,,,,,,198706,3.94,-2.29,1.07,1.73,0.83,0.48,TP
,,,,,,,,,,,,,,198707,3.85,-1.11,0.66,-0.5,1.56,0.46,TP
,,,,,,,,,,,,,,198708,3.52,-0.9,-0.9,2.03,-1.59,0.47,TP
,,,,,,,,,,,,,,198709,-2.59,0.37,0.28,-0.9,1.89,0.45,TP
,,,,,,,,,,,,,,198710,-23.24,-8.09,4.23,2.01,2.39,0.6,TP
,,,,,,,,,,,,,,198711,-7.77,2.83,3.14,-1.92,0.71,0.35,TP
,,,,,,,,,,,,,,198712,6.81,0.09,-4.49,3.01,-2.36,0.39,TP
,,,,,,,,,,,,,,198801,4.21,-0.54,5.08,-1.12,2.09,0.29,TP
,,,,,,,,,,,,,,198802,4.75,3.32,-1.65,1.56,-0.11,0.46,TP
,,,,,,,,,,,,,,198803,-2.27,6.26,0.74,-0.16,1.91,0.44,TP
,,,,,,,,,,,,,,198804,0.56,1.12,1.69,-0.23,1.9,0.46,TP
,,,,,,,,,,,,,,198805,-0.29,-2.59,2.3,-0.7,0.38,0.51,TP
