date,RET,Mkt-RF,SMB,HML,RMW,CMA,RF
20070105,-0.013625,-0.007300,-0.009300,-0.003300,0.001200,-0.001900,0.000220
20070108,-0.022674,0.002400,-0.000500,0.000800,0.000400,0.000200,0.000220
20070109,0.007467,0.000000,0.002100,-0.002000,0.001500,0.002500,0.000220
20070110,-0.016675,0.002300,-0.001400,-0.001700,-0.004500,-0.000500,0.000220
20070111,0.006729,0.007400,0.004600,-0.002900,-0.000200,0.003300,0.000220
20070112,0.021390,0.005000,0.002200,-0.002800,0.001800,-0.001500,0.000220
20070116,0.012042,0.000000,-0.003000,0.000600,-0.002200,0.002100,0.000220
20070117,-0.020176,-0.001400,-0.001700,-0.000500,0.002700,-0.002100,0.000220
20070118,-0.023759,-0.004800,-0.009400,0.005300,0.003700,0.004500,0.000220
20070119,0.001082,0.003300,0.004400,0.000700,0.000900,-0.004000,0.000220
20070122,-0.001891,-0.005500,-0.003800,0.003400,0.000800,0.001800,0.000220
20070123,-0.014073,0.003700,0.006500,0.000700,0.002900,-0.004100,0.000220
20070124,0.022783,0.008400,0.001800,-0.000500,-0.001600,-0.004000,0.000220
20070125,-0.004831,-0.011500,-0.000700,-0.001000,-0.001900,0.000600,0.000220
20070126,-0.006203,-0.000600,0.005700,0.001000,0.001200,-0.000600,0.000220
20070129,0.015740,0.000200,0.006000,0.002300,-0.001400,0.001500,0.000220
20070130,-0.010152,0.005200,0.000400,0.002200,-0.001900,-0.002600,0.000220
20070131,0.016734,0.006400,-0.004100,0.000300,0.001700,-0.001500,0.000220
20070201,0.027343,0.005900,0.003600,-0.002400,0.001900,-0.001200,0.000200
20070202,-0.033850,0.001500,0.001200,0.002700,0.000000,-0.001200,0.000200
20070205,-0.006151,-0.001200,-0.002400,0.001300,-0.001300,0.000300,0.000200
20070206,0.029871,0.001000,0.002900,0.001900,-0.001300,-0.000400,0.000200
20070207,0.018552,0.002100,0.003800,-0.000100,-0.004200,0.001100,0.000200
20070208,0.003078,-0.001000,0.002100,-0.002100,-0.001400,-0.001900,0.000200
20070209,-0.009719,-0.007600,-0.002900,0.001500,0.000300,0.001900,0.000200
20070212,0.003357,-0.003500,0.002200,0.000900,0.000400,0.002200,0.000200
20070213,0.011840,0.007200,-0.000800,0.003300,0.000300,-0.000600,0.000200
20070214,0.021114,0.007300,-0.005200,-0.001700,-0.000800,-0.000600,0.000200
20070215,-0.001993,0.001100,0.000900,-0.003700,0.001000,-0.000500,0.000200
20070216,0.006740,0.000000,0.003300,0.000700,-0.001400,-0.003900,0.000200
20070220,0.029259,0.004200,0.006000,-0.001800,-0.000600,-0.001200,0.000200
20070221,-0.006023,-0.000900,0.003100,-0.002100,0.001900,-0.000500,0.000200
20070222,-0.006301,-0.000600,0.003600,-0.001200,-0.000400,-0.001800,0.000200
